Variables,Lower,Upper,Units,Description
N_m,10,150,-,Gear ratio
N_peak,2,100,Nm,gear peak torque
tau_m_cont,0.1,0.6,Nm,motor cont. torque
tau_m_max,5,10,Nm,motor max torque.
i_max,5,20,A,max current supply
K_m,0,0.1,,motor constant
