N_m,N_peak,tau_m_cont,tau_m_max,i_max,K_m,w_j,l_j,tau_j_max,tau_j_cont,power_loss
51.515774587977965,74.46254493978383,0.6063810733921783,5.2584464785249425,18.52827510127033,0.001760680406998949,3.1336940831695363,0.10410023937322739,1.680566708194639,31.23819069128758,3.362425034825602
80.89699354917796,88.54089468740369,0.5333237590475612,5.287426898365322,17.658658263451272,0.03264779439688609,3.732910630329688,0.13377126253283117,46.63843089694486,43.1442886952939,19.27526035468983
40.53341496674787,92.02244032193371,0.4116356907492455,5.309069209979302,16.91163025982845,0.05249705978199135,2.9342959833266784,0.0936241070665409,35.98600619335089,16.685000268263064,29.31594456839347
33.538523740107586,99.6529054180115,0.430644684092082,6.242824606457412,16.764952936280622,0.03681104301345293,3.167900317385117,0.0959667698046817,20.69781038637562,14.443186960973424,21.727285020660183
87.717091287649,77.35754352576491,0.4778849667908883,5.605909552105116,17.825851282565615,0.03918093922397412,3.9967056465950264,0.14377618680870016,61.26456347393959,41.91867925699146,22.169054396179224
128.36140844566955,84.58103907653903,0.4422573013164473,6.34948858163494,18.91317309901861,0.09182600209237218,5.1070236015673665,0.19185629426201897,84.58103907653903,56.76877009236004,48.73236901540405
21.0664359912151,68.95327813753849,0.5844885724691913,5.3420123944585445,18.299267134593933,0.022702980237128946,2.5581336776077195,0.07448655993580054,8.752006595365296,12.313091099518907,13.64993272314909
136.8460761384373,70.45303909039484,0.6027208630673618,5.707511169209862,18.984841048828216,0.02937309936372381,5.019925990452691,0.1939211878305359,70.45303909039484,82.47998511754083,17.0349843182084
20.686897069996526,87.2792753916103,0.47437520783480713,5.369551179650523,16.86110081064927,0.011170692441819252,2.56155841326014,0.07438240886650176,3.896380608584019,9.813351097036865,8.49465540062997
49.3235787500067,67.73664517360926,0.5062894182937474,6.2949408829780396,18.775954173048294,0.02194486312440297,3.50444792819135,0.1122729875797871,20.323077484640084,24.972005993506734,13.230319734655126
149.32615193596936,92.04792623693152,0.5571715965841548,6.301916786548578,17.086962138120196,0.0285766618062587,5.507289753338819,0.21234531980145516,72.91421859614725,83.20029048593213,17.356595111027065
